candidate_id,source_file,location,address_or_symbol,evidence_type,possible_role,confidence,next_test
RHS-018,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,264,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-019,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,265,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-020,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,266,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-021,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,267,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-022,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,268,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-023,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,269,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-024,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,270,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-025,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,271,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-026,C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,272,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-027,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,28,0x11B55DF6,VM_handler_candidate,requested shift/unknown handler address appears in handler/table exports,low,only pursue if connected to real recv handshake bytecode
RHS-028,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,60,0x11B55DF6,VM_handler_candidate,requested shift/unknown handler address appears in handler/table exports,low,only pursue if connected to real recv handshake bytecode
RHS-029,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,74,0x11B55DF6,VM_handler_candidate,requested shift/unknown handler address appears in handler/table exports,low,only pursue if connected to real recv handshake bytecode
RHS-030,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,115,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-031,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,122,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-032,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,134,0x11B5932F,VM_handler_candidate,handler table maps opcodes to SETZ AH class; no receive/key context proven,medium,obtain pcode slice if this handler appears in real handshake VM bytecode
RHS-033,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,159,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-034,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,162,0x11B5932F,VM_handler_candidate,handler table maps opcodes to SETZ AH class; no receive/key context proven,medium,obtain pcode slice if this handler appears in real handshake VM bytecode
RHS-035,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,189,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-036,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,210,0x11B5932F,VM_handler_candidate,handler table maps opcodes to SETZ AH class; no receive/key context proven,medium,obtain pcode slice if this handler appears in real handshake VM bytecode
RHS-037,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,233,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-038,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,237,0x11B5932F,VM_handler_candidate,handler table maps opcodes to SETZ AH class; no receive/key context proven,medium,obtain pcode slice if this handler appears in real handshake VM bytecode
RHS-039,C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,249,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-040,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_disassembly.txt,42,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-041,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_disassembly.txt,70,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-042,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_pcode.txt,288,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-043,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_pcode.txt,515,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-044,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,44,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-045,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,45,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-046,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,72,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-047,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,73,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-048,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_interesting_state_instructions.csv,29,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-049,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_interesting_state_instructions.csv,37,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-050,C:\AionTools\EA_VM_TargetDumpJava.java,263,0x11B57796,VM_handler_candidate,handler reads VM bytecode operand and returns into dispatcher continuation; not a proven S2C key write,medium,trace continuation to any context STORE reaching key slot
RHS-051,C:\AionTools\EA_VM_TargetDumpJava.java,290,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
RHS-052,C:\AionTools\EA_VM_TargetDumpJava.java,291,0x11B5630F,VM_handler_candidate,VM handler table lookup through R12 + opcode index,high,trace real opcode sequence or native context caller
RHS-053,C:\AionTools\EA_VM_FlowDumpJava.java,107,0x11B562BD,VM_handler_candidate,"VM dispatcher bytecode fetch from RSI; confirms VM instruction stream, not receive packet buffer",high,do not treat as S2C key write; trace native caller that initializes RSI/RBP
