candidate_id,source_file,location,address_or_symbol,evidence_type,possible_role,confidence,next_test
P622-329,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_disassembly.txt,70,0x11B5630F,VM_dispatch_path,handler table lookup via R12+RAX*8,high,export decoded VM bytecode sequence or native caller xrefs
P622-332,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_pcode.txt,20,0x11B566B4,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-335,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_pcode.txt,45,0x11B56C63,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-338,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_pcode.txt,120,0x11B54E6F,VM_dispatch_path,handler table base,high,export xrefs/data refs and dispatcher caller context
P622-340,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_pcode.txt,288,0x11B562BD,VM_dispatch_path,"dispatcher bytecode fetch from RSI; confirms VM stream, not packet buffer",high,export caller/context setup that initializes RSI/RBP before this dispatcher
P622-341,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_pcode.txt,515,0x11B5630F,VM_dispatch_path,handler table lookup via R12+RAX*8,high,export decoded VM bytecode sequence or native caller xrefs
P622-346,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,9,0x11B566B4,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-348,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,19,0x11B56C63,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-350,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,28,0x11B54E6F,VM_dispatch_path,handler table base,high,export xrefs/data refs and dispatcher caller context
P622-351,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,44,0x11B562BD,VM_dispatch_path,"dispatcher bytecode fetch from RSI; confirms VM stream, not packet buffer",high,export caller/context setup that initializes RSI/RBP before this dispatcher
P622-353,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,72,0x11B5630F,VM_dispatch_path,handler table lookup via R12+RAX*8,high,export decoded VM bytecode sequence or native caller xrefs
P622-357,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_interesting_state_instructions.csv,7,0x11B566B4,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-359,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_interesting_state_instructions.csv,15,0x11B56C63,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-361,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_interesting_state_instructions.csv,21,0x11B54E6F,VM_dispatch_path,handler table base,high,export xrefs/data refs and dispatcher caller context
P622-362,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_interesting_state_instructions.csv,29,0x11B562BD,VM_dispatch_path,"dispatcher bytecode fetch from RSI; confirms VM stream, not packet buffer",high,export caller/context setup that initializes RSI/RBP before this dispatcher
P622-363,C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_interesting_state_instructions.csv,37,0x11B5630F,VM_dispatch_path,handler table lookup via R12+RAX*8,high,export decoded VM bytecode sequence or native caller xrefs
P622-366,C:\AionTools\EA_VM_TargetDumpJava.java,175,0x11B54E6F,VM_dispatch_path,handler table base,high,export xrefs/data refs and dispatcher caller context
P622-368,C:\AionTools\EA_VM_TargetDumpJava.java,258,0x11B566B4,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-369,C:\AionTools\EA_VM_TargetDumpJava.java,259,0x11B56C63,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-370,C:\AionTools\EA_VM_TargetDumpJava.java,263,0x11B57796,real_static_export,handler reads VM operand from RSI and rejoins dispatcher; no recv/key write proven,medium,trace only if real handshake VM bytecode reaches this handler
P622-373,C:\AionTools\EA_VM_TargetDumpJava.java,290,0x11B562BD,VM_dispatch_path,"dispatcher bytecode fetch from RSI; confirms VM stream, not packet buffer",high,export caller/context setup that initializes RSI/RBP before this dispatcher
P622-374,C:\AionTools\EA_VM_TargetDumpJava.java,291,0x11B5630F,VM_dispatch_path,handler table lookup via R12+RAX*8,high,export decoded VM bytecode sequence or native caller xrefs
P622-375,C:\AionTools\EA_VM_FlowDumpJava.java,105,0x11B566B4,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-376,C:\AionTools\EA_VM_FlowDumpJava.java,106,0x11B56C63,VM_dispatch_path,VM launch entry/TLS entry anchor; useful as xref target for native caller discovery,high,export xrefs/callers to this address and caller pcode
P622-377,C:\AionTools\EA_VM_FlowDumpJava.java,107,0x11B562BD,VM_dispatch_path,"dispatcher bytecode fetch from RSI; confirms VM stream, not packet buffer",high,export caller/context setup that initializes RSI/RBP before this dispatcher
P622-378,missing_export,n/a,xrefs_to_0x11B566B4_0x11B56C63_and_WS2_32_recv,missing_export_blocker,need native receive/world-handshake caller slice that bridges network packet parse to VM context and S2C key slot write,high,generate targeted Ghidra xrefs/pcode export requested in exact_missing_exports.md
