variant,source_evidence,offset,include_previous_byte_chaining,packet_size_key_update,frame_number,oracle_message,payload_len,exact_oracle_match,utf16le_containment,matched_messages,decoded_prefix_hex,decoded_prefix_ascii
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,10,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2f391e86cb76295edf73e60c6,.....\.xF....l.b...>`.
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,0,no,no,7166,KX01_A,22,no,no,,a45e5ead365390ae152787efdcbecd6f1affb604f062,.^^.6S...'.....o.....b
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,0,no,yes,7166,KX01_A,22,no,no,,be5e5ead365390ae0f2787efdcbecd6f00ffb604f062,.^^.6S...'.....o.....b
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,0,yes,no,7166,KX01_A,22,no,no,,a499df5bc793cc1e6d6175d90ca16f8c94c4b606b17d,...[....mau...o......}
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,0,yes,yes,7166,KX01_A,22,no,no,,be99df5bc793cc1e776175d90ca16f8c8ec4b606b17d,...[....wau...o......}
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,2,no,no,7166,KX01_A,22,no,no,,c781952e6800467766246505ae9d209215e123beab2e,....h.Fwf$e... ...#...
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,2,no,yes,7166,KX01_A,22,no,no,,c781812e6800467766247105ae9d209215e137beab2e,....h.Fwf$q... ...7...
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,2,yes,no,7166,KX01_A,22,no,no,,c78195d899c01ac71e6297337e8282719bda23bcea31,.........b.3~..q..#..1
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,2,yes,yes,7166,KX01_A,22,no,no,,c78181d899c01ac71e6283337e8282719bda37bcea31,.........b.3~..q..7..1
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,8,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb078252d9e8ce9adc35868d5b37edc77,.....\.x%-.....Xh..~.w
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,8,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb078372d9e8ce9adc3587ad5b37edc77,.....\.x7-.....Xz..~.w
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,8,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb078256b6cba39b261bbe6eeb37c9d68,.....\.x%kl.9.a....|.h
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,8,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb078376b6cba39b261bbf4eeb37c9d68,.....\.x7kl.9.a....|.h
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,10,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2550fb7fe15811bd65194ae54,.....\.xF.U.......Q..T
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,10,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2590fb7fe15811bd65d94ae54,.....\.xF.Y.......]..T
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,10,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2553967e1b76295ed5196ef4b,.....\.xF.U9g..b..Q..K
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,10,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2593967e1b76295ed5d96ef4b,.....\.xF.Y9g..b..]..K
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,0,no,no,7166,KX01_A,22,no,no,,f2415ead365390ae433887efdcbecd6f4ce0b604f062,.A^.6S..C8.....oL....b
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,0,no,yes,7166,KX01_A,22,no,no,,8c415ead365390ae3d3887efdcbecd6f32e0b604f062,.A^.6S..=8.....o2....b
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,0,yes,no,7166,KX01_A,22,no,no,,f286df5bc793cc1e3b7e75d90ca16f8cc2dbb606b17d,...[....;~u...o......}
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,0,yes,yes,7166,KX01_A,22,no,no,,8c86df5bc793cc1e457e75d90ca16f8cbcdbb606b17d,...[....E~u...o......}
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,2,no,no,7166,KX01_A,22,no,no,,c781c331680046776624331aae9d209215e175a1ab2e,...1h.Fwf$3... ...u...
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,2,no,yes,7166,KX01_A,22,no,no,,c781bf316800467766244f1aae9d209215e109a1ab2e,...1h.Fwf$O... .......
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,2,yes,no,7166,KX01_A,22,no,no,,c781c3c799c01ac71e62c12c7e8282719bda75a3ea31,".........b.,~..q..u..1"
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,2,yes,yes,7166,KX01_A,22,no,no,,c781bfc799c01ac71e62bd2c7e8282719bda09a3ea31,".........b.,~..q.....1"
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,8,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07873329e8ce9adc3583ecab37edc77,.....\.xs2.....X>..~.w
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,8,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07805329e8ce9adc35848cab37edc77,.....\.x.2.....XH..~.w
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,8,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07873746cba39b261bbb0f1b37c9d68,.....\.xstl.9.a....|.h
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,8,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07805746cba39b261bbc6f1b37c9d68,.....\.x.tl.9.a....|.h
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,10,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f20310b7fe15811bd6078bae54,.....\.xF............T
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,10,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f27710b7fe15811bd6738bae54,.....\.xF.w.......s..T
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,10,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2032667e1b76295ed0789ef4b,.....\.xF..&g..b.....K
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,10,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2772667e1b76295ed7389ef4b,.....\.xF.w&g..b..s..K
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,0,no,no,7166,KX01_A,22,no,no,,a45e5ead365390ae152787efdcbecd6f1affb604f062,.^^.6S...'.....o.....b
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,0,no,yes,7166,KX01_A,22,no,no,,be5e5ead365390ae0f2787efdcbecd6f00ffb604f062,.^^.6S...'.....o.....b
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,0,yes,no,7166,KX01_A,22,no,no,,a499df5bc793cc1e6d6175d90ca16f8c94c4b606b17d,...[....mau...o......}
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,0,yes,yes,7166,KX01_A,22,no,no,,be99df5bc793cc1e776175d90ca16f8c8ec4b606b17d,...[....wau...o......}
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,2,no,no,7166,KX01_A,22,no,no,,c781952e6800467766246505ae9d209215e123beab2e,....h.Fwf$e... ...#...
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,2,no,yes,7166,KX01_A,22,no,no,,c781812e6800467766247105ae9d209215e137beab2e,....h.Fwf$q... ...7...
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,2,yes,no,7166,KX01_A,22,no,no,,c78195d899c01ac71e6297337e8282719bda23bcea31,.........b.3~..q..#..1
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,2,yes,yes,7166,KX01_A,22,no,no,,c78181d899c01ac71e6283337e8282719bda37bcea31,.........b.3~..q..7..1
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,8,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb078252d9e8ce9adc35868d5b37edc77,.....\.x%-.....Xh..~.w
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,8,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb078372d9e8ce9adc3587ad5b37edc77,.....\.x7-.....Xz..~.w
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,8,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb078256b6cba39b261bbe6eeb37c9d68,.....\.x%kl.9.a....|.h
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,8,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb078376b6cba39b261bbf4eeb37c9d68,.....\.x7kl.9.a....|.h
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,10,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2550fb7fe15811bd65194ae54,.....\.xF.U.......Q..T
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,10,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2590fb7fe15811bd65d94ae54,.....\.xF.Y.......]..T
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,10,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2553967e1b76295ed5196ef4b,.....\.xF.U9g..b..Q..K
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,10,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2593967e1b76295ed5d96ef4b,.....\.xF.Y9g..b..]..K
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,0,no,no,7166,KX01_A,22,no,no,,f2415ead365390ae433887efdcbecd6f4ce0b604f062,.A^.6S..C8.....oL....b
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,0,no,yes,7166,KX01_A,22,no,no,,8c415ead365390ae3d3887efdcbecd6f32e0b604f062,.A^.6S..=8.....o2....b
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,0,yes,no,7166,KX01_A,22,no,no,,f286df5bc793cc1e3b7e75d90ca16f8cc2dbb606b17d,...[....;~u...o......}
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,0,yes,yes,7166,KX01_A,22,no,no,,8c86df5bc793cc1e457e75d90ca16f8cbcdbb606b17d,...[....E~u...o......}
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,2,no,no,7166,KX01_A,22,no,no,,c781c331680046776624331aae9d209215e175a1ab2e,...1h.Fwf$3... ...u...
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,2,no,yes,7166,KX01_A,22,no,no,,c781bf316800467766244f1aae9d209215e109a1ab2e,...1h.Fwf$O... .......
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,2,yes,no,7166,KX01_A,22,no,no,,c781c3c799c01ac71e62c12c7e8282719bda75a3ea31,".........b.,~..q..u..1"
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,2,yes,yes,7166,KX01_A,22,no,no,,c781bfc799c01ac71e62bd2c7e8282719bda09a3ea31,".........b.,~..q.....1"
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,8,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07873329e8ce9adc3583ecab37edc77,.....\.xs2.....X>..~.w
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,8,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07805329e8ce9adc35848cab37edc77,.....\.x.2.....XH..~.w
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,8,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07873746cba39b261bbb0f1b37c9d68,.....\.xstl.9.a....|.h
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,8,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07805746cba39b261bbc6f1b37c9d68,.....\.x.tl.9.a....|.h
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,10,no,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f20310b7fe15811bd6078bae54,.....\.xF............T
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,10,no,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f27710b7fe15811bd6738bae54,.....\.xF.w.......s..T
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,10,yes,no,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2032667e1b76295ed0789ef4b,.....\.xF..&g..b.....K
rydiik_deobf_cd92e4df_3ff2cccf,public_reference_or_source_truthing_control,10,yes,yes,7166,KX01_A,22,no,no,,c781f6f1c05cb07846f2772667e1b76295ed7389ef4b,.....\.xF.w&g..b..s..K
identity_control,public_reference_or_source_truthing_control,0,no,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10acdb83695c9d834baae291faedc28,.l....R.....6...4..)...(
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,0,no,no,7200,KX02_AA,24,no,no,,6d1b98344bb172c84877f30af589e739cfed95e1f0a7feeb,m..4K.r.Hw.....9........
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,0,no,yes,7200,KX02_AA,24,no,no,,051b98344bb172c82077f30af589e739a7ed95e1f0a7feeb,...4K.r. w.....9........
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,0,yes,no,7200,KX02_AA,24,no,no,,6dcff48bae0ccc9a56b6f9c74dbf72f017d92f4fd9b85037,m.......V...M.r.../O..P7
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,0,yes,yes,7200,KX02_AA,24,no,no,,05cff48bae0ccc9a3eb6f9c74dbf72f07fd92f4fd9b85037,........>...M.r.../O..P7
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,2,no,no,7200,KX02_AA,24,no,no,,d46c06929a6fa411e1dc44c508270ac41a5b557e24663321,.l...o....D..'...[U~$f3!
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,2,no,yes,7200,KX02_AA,24,no,no,,d46c70929a6fa411e1dc32c508270ac41a5b237e24663321,.lp..o....2..'...[#~$f3!
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,2,yes,no,7200,KX02_AA,24,no,no,,d46c062d7fd21a43ff1d4e08b0119f0dc26fefd00d799dfd,.l.-...C..N......o...y..
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,2,yes,yes,7200,KX02_AA,24,no,no,,d46c702d7fd21a43ff1d3808b0119f0dc26f99d00d799dfd,.lp-...C..8......o...y..
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,8,no,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521e787dea69c09ae90ebdc7909bdcb2f2c9,.l....R.x}.i............
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,8,no,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521e087dea69c09ae90ecdc7909bdcb2f2c9,.l....R..}.i............
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,8,yes,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521e78bce0a478ac7cc765f32a35f5ad5c15,.l....R.x...x.|.e.*5..\.
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,8,yes,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521e08bce0a478ac7cc715f32a35f5ad5c15,.l....R.....x.|...*5..\.
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,10,no,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10a74cf11443fd7146c2754211c1f34,.l....R...t..D?..l'T!..4
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,10,no,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10a0acf11443fd7146c5954211c1f34,.l....R......D?..lYT!..4
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,10,yes,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10a7402a972aa1ecc589dfa0803b1e8,.l....R...t..r...X......
pass590_false_key_0xfe683cb9,public_reference_or_source_truthing_control,10,yes,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10a0a02a972aa1ecc58e3fa0803b1e8,.l....R......r...X......
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,0,no,no,7200,KX02_AA,24,no,no,,b7b317b94bb172c892df7c87f589e73915451a6cf0a7feeb,....K.r...|....9.E.l....
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,0,no,yes,7200,KX02_AA,24,no,no,,afb317b94bb172c88adf7c87f589e7390d451a6cf0a7feeb,....K.r...|....9.E.l....
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,0,yes,no,7200,KX02_AA,24,no,no,,b7677b06ae0ccc9a8c1e764a4dbf72f0cd71a0c2d9b85037,.g{.......vJM.r..q....P7
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,0,yes,yes,7200,KX02_AA,24,no,no,,af677b06ae0ccc9a941e764a4dbf72f0d571a0c2d9b85037,.g{.......vJM.r..q....P7
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,2,no,no,7200,KX02_AA,24,no,no,,d46cdc3a15e2a411e1dc9e6d87aa0ac41a5b8fd6abeb3321,.l.:.......m.....[....3!
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,2,no,yes,7200,KX02_AA,24,no,no,,d46cc63a15e2a411e1dc846d87aa0ac41a5b95d6abeb3321,.l.:.......m.....[....3!
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,2,yes,no,7200,KX02_AA,24,no,no,,d46cdc85f05f1a43ff1d94a03f9c9f0dc26f357882f49dfd,.l..._.C....?....o5x....
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,2,yes,yes,7200,KX02_AA,24,no,no,,d46cc685f05f1a43ff1d8ea03f9c9f0dc26f2f7882f49dfd,.l..._.C....?....o/x....
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,8,no,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ea2d565e4c09ae90e676f1f16dcb2f2c9,.l....R...e.....go......
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,8,no,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521eb2d565e4c09ae90e776f1f16dcb2f2c9,.l....R...e.....wo......
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,8,yes,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ea2146f2978ac7cc7bf5ba5b8f5ad5c15,.l....R...o)x.|..[....\.
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,8,yes,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521eb2146f2978ac7cc7af5ba5b8f5ad5c15,.l....R...o)x.|..[....\.
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,10,no,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10aae679ec93fd7146cfdfcae911f34,.l....R....g..?..l.....4
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,10,no,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10abc679ec93fd7146ceffcae911f34,.l....R....g..?..l.....4
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,10,yes,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10aaeaa26ffaa1ecc584752878eb1e8,.l....R.....&....XGR....
pass590_variant_a_0x73e79463,public_reference_or_source_truthing_control,10,yes,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10abcaa26ffaa1ecc585552878eb1e8,.l....R.....&....XUR....
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,0,no,no,7200,KX02_AA,24,no,no,,e1ac17b94bb172c8c4c07c87f589e739435a1a6cf0a7feeb,....K.r...|....9CZ.l....
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,0,no,yes,7200,KX02_AA,24,no,no,,99ac17b94bb172c8bcc07c87f589e7393b5a1a6cf0a7feeb,....K.r...|....9;Z.l....
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,0,yes,no,7200,KX02_AA,24,no,no,,e1787b06ae0ccc9ada01764a4dbf72f09b6ea0c2d9b85037,.x{.......vJM.r..n....P7
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,0,yes,yes,7200,KX02_AA,24,no,no,,99787b06ae0ccc9aa201764a4dbf72f0e36ea0c2d9b85037,.x{.......vJM.r..n....P7
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,2,no,no,7200,KX02_AA,24,no,no,,d46c8a2515e2a411e1dcc87287aa0ac41a5bd9c9abeb3321,.l.%.......r.....[....3!
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,2,no,yes,7200,KX02_AA,24,no,no,,d46cf42515e2a411e1dcb67287aa0ac41a5ba7c9abeb3321,.l.%.......r.....[....3!
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,2,yes,no,7200,KX02_AA,24,no,no,,d46c8a9af05f1a43ff1dc2bf3f9c9f0dc26f636782f49dfd,.l..._.C....?....ocg....
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,2,yes,yes,7200,KX02_AA,24,no,no,,d46cf49af05f1a43ff1dbcbf3f9c9f0dc26f1d6782f49dfd,.l..._.C....?....o.g....
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,8,no,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ef4ca65e4c09ae90e31701f16dcb2f2c9,.l....R...e.....1p......
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,8,no,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521e84ca65e4c09ae90e41701f16dcb2f2c9,.l....R...e.....Ap......
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,8,yes,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ef40b6f2978ac7cc7e944a5b8f5ad5c15,.l....R...o)x.|..D....\.
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,8,yes,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521e840b6f2978ac7cc79944a5b8f5ad5c15,.l....R...o)x.|..D....\.
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,10,no,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10af8789ec93fd7146cabe3ae911f34,.l....R....x..?..l.....4
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,10,no,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10a8e789ec93fd7146cdde3ae911f34,.l....R....x..?..l.....4
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,10,yes,no,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10af8b526ffaa1ecc58114d878eb1e8,.l....R.....&....X.M....
pass590_variant_b_0x73e78b35,public_reference_or_source_truthing_control,10,yes,yes,7200,KX02_AA,24,no,no,,d46cbfe5bdbe521ec10a8eb526ffaa1ecc58674d878eb1e8,.l....R.....&....XgM....
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,0,no,no,7200,KX02_AA,24,no,no,,b7b317b94bb172c892df7c87f589e73915451a6cf0a7feeb,....K.r...|....9.E.l....
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,0,no,yes,7200,KX02_AA,24,no,no,,afb317b94bb172c88adf7c87f589e7390d451a6cf0a7feeb,....K.r...|....9.E.l....
aion_unique_deobf_cd92e451_3ff2cc87,public_reference_or_source_truthing_control,0,yes,no,7200,KX02_AA,24,no,no,,b7677b06ae0ccc9a8c1e764a4dbf72f0cd71a0c2d9b85037,.g{.......vJM.r..q....P7
